age,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,traded,pos_DF,pos_FW,pos_GK,pos_MF
23,28,2292,11,2,4,0,2.1,76.1,1.1,1,7.14,1.1,0.7,1.1,0.0,0.6,1.2,0.1,0,1.3,1.6,1.1,0.4,2.1,1.3,27.2,0.2,0.6,0.1,0,False,True,False,False
28,13,1197,6,0,1,0,1.4,79.5,0.8,3,6.82,2.8,0.6,1.3,0.0,0.6,0.9,0.1,0,0.9,0.7,1.7,0.3,1.6,1.3,33.9,0.5,2.0,0.1,0,False,False,False,True
23,15,1429,0,0,3,0,0.2,76.9,1.3,0,6.67,1.2,1.7,0.8,0.2,4.1,0.2,0.3,0,0.1,0.1,0.4,0.0,0.1,0.2,26.0,0.1,2.0,0.0,0,True,False,False,False
20,0,30,0,0,0,0,0.0,88.9,0.3,0,6.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0,0.0,0.0,0.3,0.0,0.3,1.3,3.0,0.3,0.0,0.0,0,False,True,False,False
24,24,2028,0,0,4,0,0.7,82.8,2.9,1,6.85,1.6,1.6,0.9,0.1,2.6,0.4,0.1,0,0.6,0.6,1.0,0.0,0.4,0.6,33.3,0.1,1.6,0.0,0,False,False,False,True
25,4,360,0,0,0,0,0.0,58.9,0.0,0,5.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,0.0,6.0,0.0,1,False,False,True,False
25,23,1976,3,2,3,0,1.4,74.2,1.0,1,6.91,2.0,0.9,1.3,0.0,0.7,0.6,0.2,0,1.3,1.3,1.2,0.4,1.7,1.3,24.3,0.3,0.9,0.1,0,False,False,False,True
33,37,3332,0,0,1,0,0.0,45.0,0.0,2,6.84,0.0,0.0,0.1,0.0,0.8,0.1,0.0,0,0.0,0.1,0.2,0.0,0.0,0.0,20.2,0.0,6.1,0.0,0,False,False,True,False
19,0,13,0,0,0,0,0.0,92.3,0.0,0,6.18,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.5,0.0,0.0,0.0,6.5,0.0,0.0,0.5,1,False,False,False,True
35,24,1885,4,4,7,0,0.9,69.7,1.8,0,6.53,0.6,0.2,1.4,0.0,0.6,0.6,0.1,0,0.9,0.1,1.2,0.3,0.7,0.8,23.0,0.1,1.5,0.1,0,False,False,False,True
29,31,2762,0,0,1,0,0.0,53.4,0.0,3,6.83,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0,0.0,0.0,0.2,0.0,0.0,0.0,14.5,0.0,3.6,0.0,0,False,False,True,False
26,15,1570,1,7,0,0,0.4,74.8,0.3,1,6.91,1.2,0.6,0.4,0.0,0.2,0.5,0.0,0,0.9,2.6,1.0,0.1,0.8,1.3,13.6,0.6,0.2,0.1,0,False,False,False,True
23,0,23,0,0,0,0,0.0,66.7,0.0,0,6.06,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0,True,False,False,False
22,16,1470,1,0,0,0,0.3,71.2,1.8,2,6.97,2.4,1.4,1.1,0.1,6.4,0.6,0.4,0,0.2,0.3,0.9,0.1,0.4,0.5,24.1,0.3,1.3,0.0,0,True,False,False,False
30,4,347,0,0,1,0,1.1,57.8,1.3,0,6.29,0.1,0.0,0.7,0.0,0.6,0.3,0.0,0,0.1,0.9,0.6,0.6,0.7,1.1,12.9,0.0,0.1,0.0,0,False,True,False,False
22,12,975,3,1,7,0,0.7,66.7,1.5,0,6.9,2.8,2.2,1.2,1.4,4.8,0.8,0.6,0,0.3,0.4,0.3,0.0,0.0,0.2,31.0,0.1,2.7,0.0,1,True,False,False,False
20,0,64,0,0,0,0,0.0,52.6,0.8,0,6.2,0.2,0.6,0.0,0.0,0.2,0.2,0.2,0,0.2,0.2,0.2,0.0,0.0,0.2,3.8,0.2,0.0,0.0,0,False,False,False,True
33,20,1748,1,2,7,0,1.5,82.3,1.3,0,6.7,1.8,0.9,1.1,0.0,1.1,1.4,0.1,0,1.1,1.0,0.5,0.1,1.7,1.7,30.3,0.3,0.9,0.0,0,False,False,False,True
22,7,682,0,1,4,0,0.7,73.3,0.4,0,6.49,1.3,1.6,2.1,0.0,0.3,0.3,0.0,0,1.1,0.0,1.4,0.2,1.2,1.1,21.0,0.6,1.3,0.1,1,False,True,False,False
31,20,1593,1,0,1,1,0.7,82.1,0.5,0,6.64,1.3,2.0,0.8,0.0,1.5,1.6,0.1,0,1.0,0.9,0.9,0.0,0.8,0.9,42.5,0.0,2.7,0.1,1,False,False,False,True
38,36,3190,3,0,7,0,0.8,90.4,2.2,0,7.05,1.1,1.0,0.8,0.3,3.8,0.2,0.6,1,0.3,0.2,0.4,0.0,0.0,0.3,65.7,0.1,4.1,0.0,0,True,False,False,False
26,6,612,0,0,0,0,0.3,66.1,1.3,0,7.03,2.1,2.3,0.7,0.3,10.3,0.3,0.6,0,0.0,0.0,0.0,0.0,0.6,0.0,25.7,0.0,1.6,0.0,1,True,False,False,False
23,13,1288,1,4,1,0,1.4,86.8,0.8,0,6.71,1.3,0.6,0.5,0.0,0.4,0.1,0.1,0,0.8,0.8,0.6,0.1,1.4,1.1,18.8,0.1,0.4,0.0,0,False,True,False,False
32,26,2333,13,1,2,0,2.9,77.9,1.6,2,7.03,0.8,0.5,0.9,0.0,0.7,0.1,0.1,0,0.8,0.6,1.5,0.8,2.6,0.0,20.2,0.1,0.6,0.1,0,False,True,False,False
18,0,8,0,0,0,0,0.0,80.0,0.0,0,6.04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0,False,False,False,True
22,1,46,0,0,0,0,0.0,46.7,0.0,0,6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,0,False,False,True,False
23,6,520,0,0,0,0,0.3,73.3,2.1,0,7.03,2.6,1.3,0.7,0.9,3.4,0.4,0.1,0,0.1,1.6,0.1,0.0,0.0,0.3,34.7,0.3,1.3,0.1,0,False,False,False,True
27,1,91,0,0,0,0,0.7,69.2,0.0,0,5.74,0.7,0.0,0.7,0.0,0.3,0.7,0.0,0,0.0,0.3,0.0,0.0,0.3,0.7,13.0,0.3,0.7,0.0,0,False,False,False,True
30,32,2949,1,3,7,1,0.5,82.4,0.6,0,6.9,2.3,2.6,0.7,0.1,1.3,0.6,0.2,0,0.9,0.3,0.5,0.2,0.7,0.5,52.2,0.7,2.3,0.2,0,False,False,False,True
28,31,2853,3,0,5,0,0.9,68.0,4.2,3,7.04,1.3,1.7,1.0,1.0,8.3,0.8,1.3,0,0.1,0.1,0.5,0.0,0.2,0.3,35.7,0.0,2.8,0.0,0,True,False,False,False
32,3,246,0,2,0,0,0.6,88.4,0.0,0,6.53,0.0,0.2,0.6,0.0,0.2,0.0,0.0,0,1.2,0.4,0.4,0.6,0.0,0.0,31.0,0.2,1.4,0.0,1,False,False,False,True
24,1,327,1,2,1,0,0.4,72.0,1.1,0,6.46,0.6,0.1,0.6,0.0,0.1,0.1,0.1,0,0.3,0.5,0.7,0.1,0.8,0.4,7.6,0.0,0.1,0.0,0,False,True,False,False
29,4,644,0,0,3,0,1.5,71.6,2.1,0,6.31,0.1,0.3,0.6,0.1,0.3,0.4,0.0,0,0.8,0.9,0.4,0.3,1.0,1.1,9.8,0.1,0.3,0.1,1,False,True,False,False
21,0,90,0,0,2,0,0.5,93.2,0.5,0,6.47,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0,1.5,0.5,1.5,0.5,1.0,1.0,37.0,0.0,4.0,0.0,0,False,False,False,True
27,4,320,0,0,1,0,0.0,82.7,1.7,0,6.54,1.2,1.2,0.5,0.7,2.7,0.2,0.7,0,0.2,0.3,0.2,0.0,0.0,0.0,28.0,0.0,2.3,0.0,0,False,False,False,True
27,35,3098,6,0,9,1,0.6,80.3,3.5,7,7.59,2.9,3.1,1.0,0.7,7.3,1.0,0.8,0,0.1,0.2,1.4,0.0,0.3,0.5,44.6,0.0,5.3,0.0,1,True,False,False,False
27,5,307,0,0,1,0,0.8,80.5,0.2,0,6.13,0.3,0.0,0.5,0.0,0.2,0.3,0.0,0,1.0,0.2,0.8,0.0,1.0,0.7,21.3,0.3,0.5,0.0,0,False,False,False,True
26,33,2970,0,0,5,0,0.0,56.6,0.2,3,7.14,0.0,0.0,0.1,0.0,0.9,0.0,0.0,1,0.2,0.0,0.2,0.0,0.0,0.0,28.1,0.0,12.6,0.0,0,False,False,True,False
28,6,612,2,1,0,0,0.6,75.2,0.6,1,6.52,1.6,0.6,0.9,0.0,0.6,0.8,0.0,0,0.3,0.1,0.8,0.4,0.4,0.8,13.4,0.3,0.6,0.0,0,False,True,False,False
30,10,895,0,0,5,0,0.2,80.0,0.8,0,6.49,1.5,0.7,1.2,0.3,2.5,0.9,0.5,0,0.9,0.8,1.4,0.0,0.4,0.9,39.2,0.7,1.0,0.0,0,False,False,False,True
25,17,1650,0,0,1,0,0.2,88.9,0.5,0,6.43,2.3,1.0,0.9,0.0,0.8,1.6,0.0,0,0.3,0.6,1.2,0.0,0.4,0.9,34.1,0.0,3.1,0.1,0,False,False,False,True
28,29,2594,1,1,5,0,0.6,81.8,1.0,0,6.94,2.9,2.5,1.2,0.2,3.4,0.7,0.1,0,0.6,0.4,0.7,0.0,0.8,0.6,35.6,0.2,2.6,0.0,0,True,False,False,False
22,18,1621,4,1,6,0,1.1,77.3,0.4,1,6.6,0.8,0.6,0.7,0.0,0.3,0.8,0.2,0,0.9,1.2,1.6,0.1,1.9,1.4,22.0,0.3,0.7,0.1,0,False,False,False,True
26,31,2702,11,5,8,1,3.0,85.6,0.4,8,7.71,1.8,0.8,1.3,0.0,0.5,1.0,0.0,0,1.9,3.7,3.7,0.1,2.0,2.0,39.8,0.6,2.0,0.1,0,False,True,False,False
23,12,1112,0,0,0,0,0.1,83.7,0.3,0,6.17,0.4,0.1,0.3,0.0,0.1,0.3,0.1,0,0.5,0.4,1.7,0.0,0.7,0.5,14.3,0.1,0.4,0.0,0,False,True,False,False
24,29,2383,3,4,5,0,1.5,78.6,1.2,2,6.73,1.1,1.7,1.2,0.0,1.0,0.2,0.2,0,0.7,0.3,0.9,0.2,0.9,0.8,28.2,0.3,1.6,0.0,0,False,False,False,True
37,36,2831,2,3,4,0,0.7,77.9,0.2,0,6.74,1.6,2.6,0.8,0.0,0.4,0.2,0.2,0,0.9,0.2,0.8,0.0,0.9,0.8,37.8,0.2,5.2,0.2,1,False,False,False,True
29,3,260,0,0,0,0,0.1,72.4,0.4,0,6.32,1.0,0.6,0.1,0.0,1.0,0.3,0.1,0,0.1,0.1,0.0,0.0,0.1,0.0,15.4,0.1,1.1,0.0,0,False,False,False,True
26,0,17,0,0,0,0,2.0,20.0,1.0,0,6.29,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0,False,False,False,True
26,32,2818,1,5,7,0,0.3,71.2,1.8,1,7.35,4.0,2.6,1.3,0.2,4.3,1.3,0.2,0,0.6,0.8,1.3,0.0,0.3,0.9,28.9,0.3,0.6,0.1,0,False,False,False,True
30,23,2127,2,3,13,0,0.9,82.2,0.3,0,6.62,1.5,1.1,1.3,0.0,1.1,0.8,0.2,0,1.3,0.2,1.0,0.0,0.3,0.8,42.5,1.0,4.0,0.1,0,False,False,False,True
34,17,1525,0,0,0,0,0.0,68.1,0.1,0,6.71,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0.1,0.1,0.1,0.0,0.0,0.0,31.7,0.0,9.0,0.0,0,False,False,True,False
22,13,1246,0,0,3,0,0.2,84.3,1.3,0,6.67,1.9,1.8,1.1,0.6,4.5,0.6,0.5,0,0.2,0.2,0.5,0.0,0.4,0.2,39.8,0.0,3.7,0.0,0,False,False,False,True
28,14,1270,3,2,5,0,1.4,74.5,1.3,0,6.59,1.2,0.4,1.8,0.0,0.8,0.9,0.0,0,1.0,1.0,1.5,0.2,1.3,2.5,18.4,0.5,1.0,0.0,0,False,True,False,False
25,36,3156,1,0,4,1,0.3,86.3,0.3,0,6.62,1.7,2.0,1.0,0.6,3.8,0.9,0.5,1,0.4,0.0,0.6,0.1,0.2,0.4,51.2,0.4,5.8,0.0,0,True,False,False,False
29,1,90,0,0,0,0,0.0,88.0,0.0,0,7.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,2.0,0.0,0,False,False,True,False
26,31,2821,8,4,0,0,1.1,82.7,0.3,2,6.76,0.8,0.8,0.3,0.0,0.7,0.5,0.0,0,1.7,1.1,0.6,0.3,1.1,1.1,22.6,2.0,0.4,0.0,0,False,False,False,True
31,26,2309,1,0,1,0,0.4,91.2,3.5,4,7.53,2.4,2.8,0.5,0.5,6.6,0.2,0.6,0,0.1,0.2,1.0,0.0,0.1,0.2,63.3,0.0,4.4,0.0,0,True,False,False,False
25,12,1045,0,0,5,0,0.5,85.6,1.8,1,7.4,5.7,2.8,1.6,0.0,1.2,1.0,0.3,0,0.9,0.3,0.8,0.0,0.8,0.3,57.3,0.0,3.9,0.1,0,False,False,False,True
26,1,190,0,0,1,0,0.5,77.2,0.5,0,6.17,0.6,0.0,1.1,0.0,0.5,0.5,0.1,0,0.5,0.1,0.5,0.0,0.5,1.0,11.5,0.3,0.1,0.0,1,False,False,False,True
34,31,2790,1,3,10,0,0.6,70.9,2.1,2,7.34,3.0,3.1,1.4,0.9,9.2,0.7,0.6,0,0.3,0.1,1.9,0.2,0.4,0.0,23.1,0.1,3.0,0.0,1,True,False,False,False
26,0,20,0,0,0,0,0.0,50.0,0.0,0,6.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,False,True,False,False
28,4,337,0,0,1,0,0.8,63.5,0.2,0,6.18,1.0,0.5,1.5,0.0,0.3,0.3,0.0,0,0.5,0.3,1.0,0.3,1.3,1.7,16.0,0.2,0.5,0.0,0,False,True,False,False
26,16,1360,3,2,9,0,0.8,84.6,1.1,0,6.74,2.4,0.9,1.8,0.0,0.5,1.1,0.1,0,0.8,0.4,1.6,0.0,1.0,1.0,40.0,0.2,2.3,0.0,0,False,False,False,True
27,17,1496,1,3,4,0,0.6,86.7,0.2,0,7.01,1.7,1.4,0.8,0.1,0.6,0.3,0.2,0,1.0,1.7,1.6,0.2,1.3,0.0,29.8,0.2,1.1,0.2,0,True,False,False,False
28,24,2093,0,2,4,0,0.3,77.1,1.9,0,6.72,1.7,2.2,0.8,0.6,2.6,0.6,0.8,0,0.3,0.4,0.4,0.0,0.5,0.4,48.2,0.0,5.2,0.0,0,True,False,False,False
26,34,3062,5,6,7,0,1.5,83.5,1.2,0,6.76,2.0,1.0,1.0,0.0,1.5,1.1,0.2,1,1.1,0.9,0.4,0.1,1.2,1.7,55.4,0.1,1.7,0.1,0,False,False,False,True
24,1,90,0,0,0,0,0.0,80.6,0.0,0,6.52,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0,0.0,0.0,1.0,0.0,2.0,0.0,31.0,0.0,2.0,0.0,0,True,False,False,False
21,3,410,2,0,0,0,0.8,65.9,0.5,0,6.3,0.7,0.0,1.0,0.0,0.2,0.1,0.3,0,0.0,0.0,0.4,0.4,0.5,0.5,7.6,0.0,0.0,0.1,1,False,True,False,False
33,21,1887,1,1,5,0,0.6,87.6,2.7,0,7.27,1.6,2.5,0.8,0.3,3.4,0.4,1.0,0,0.3,0.3,1.1,0.0,0.1,0.4,54.2,0.1,2.6,0.1,0,True,False,False,False
24,10,900,0,0,1,0,0.5,78.2,3.1,1,7.2,1.4,3.5,1.2,1.1,7.2,0.7,1.3,0,0.1,0.6,0.5,0.0,0.5,0.1,36.7,0.0,3.3,0.0,0,True,False,False,False
31,0,8,0,0,0,0,0.0,33.3,0.0,0,5.82,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,False,False,False,True
35,13,1180,0,1,3,0,1.2,81.3,0.5,0,6.62,1.5,1.3,1.8,0.0,0.4,0.6,0.1,0,0.8,0.4,1.1,0.2,0.6,1.4,39.4,0.1,3.4,0.1,0,False,True,False,False
34,18,1609,2,1,2,0,0.5,80.3,2.0,1,7.1,1.6,3.5,0.7,0.4,2.7,0.8,0.6,0,0.5,0.1,0.8,0.1,0.2,0.1,44.7,0.2,2.7,0.0,0,True,False,False,False
32,9,786,4,0,1,0,2.0,68.7,1.0,0,6.75,0.7,0.4,0.8,0.0,1.2,0.4,0.1,0,0.7,1.2,0.7,0.7,2.7,2.5,16.3,0.0,0.7,0.0,1,False,True,False,False
21,2,237,0,0,0,0,0.0,70.7,0.0,0,5.59,0.3,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0.0,0.0,25.0,0.0,8.0,0.0,0,False,False,True,False
24,14,1339,1,0,1,0,0.4,80.7,1.6,3,7.44,2.2,4.6,0.9,0.8,9.8,0.5,0.3,0,0.2,0.5,0.8,0.1,0.5,0.5,27.7,0.0,3.5,0.0,1,True,False,False,False
20,0,1,0,0,0,0,0.0,66.7,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,True,False,False,False
25,29,2634,6,4,3,0,1.8,83.5,0.8,3,6.9,2.3,0.7,1.0,0.0,1.1,1.8,0.4,0,1.2,0.8,1.1,0.0,0.9,1.4,53.4,0.4,2.3,0.1,0,False,False,False,True
19,2,158,0,0,0,0,0.1,83.6,0.3,0,6.16,0.8,0.3,0.6,0.0,0.0,0.3,0.0,0,0.3,0.1,0.4,0.1,0.4,0.4,7.6,0.1,0.0,0.0,1,False,True,False,False
29,33,2970,0,0,3,0,0.0,40.6,0.8,1,6.68,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0,0.1,0.0,0.2,0.0,0.0,0.0,25.9,0.0,8.6,0.0,0,False,False,True,False
